"","tanggal","KASUS","MENINGGAL","SEMBUH","DIRAWAT_OR_ISOLASI","AKUMULASI_KASUS","AKUMULASI_SEMBUH","AKUMULASI_MENINGGAL","AKUMULASI_DIRAWAT_OR_ISOLASI"
"120",1594598400000,8,0,8,0,364,305,10,49
"121",1594684800000,8,1,5,2,372,310,11,51
"122",1594771200000,9,0,3,6,381,313,11,57
"123",1594857600000,8,0,0,8,389,313,11,65
"124",1.594944e+12,4,0,2,2,393,315,11,67
"125",1595030400000,8,0,8,0,401,323,11,67
"126",1595116800000,15,1,0,14,416,323,12,81
"127",1595203200000,6,1,3,2,422,326,13,83
"128",1595289600000,28,1,3,24,450,329,14,107
"129",1.595376e+12,21,2,1,18,471,330,16,125
"130",1595462400000,10,0,4,6,481,334,16,131
"131",1595548800000,23,1,6,16,504,340,17,147
"132",1595635200000,17,1,6,10,521,346,18,157
"133",1595721600000,7,1,0,6,528,346,19,163
"134",1.595808e+12,15,0,4,11,543,350,19,174
"135",1595894400000,14,1,5,8,557,355,20,182
"136",1595980800000,15,0,12,3,572,367,20,185
"137",1596067200000,23,0,14,9,595,381,20,194
"138",1596153600000,64,0,16,48,659,397,20,242
"139",1.59624e+12,67,1,11,55,726,408,21,297
"140",1596326400000,19,0,12,7,745,420,21,304
"141",1596412800000,12,0,13,-1,757,433,21,303
"142",1596499200000,12,0,14,-2,769,447,21,301
"143",1596585600000,17,0,29,-12,786,476,21,289
"144",1.596672e+12,18,0,20,-2,804,496,21,287
"145",1596758400000,19,0,29,-10,823,525,21,277
"146",1596844800000,16,2,27,-13,839,552,23,264
"147",1596931200000,8,1,18,-11,847,570,24,253
"148",1597017600000,14,1,23,-10,861,593,25,243
"149",1.597104e+12,4,0,16,-12,865,609,25,231
"150",1597190400000,20,1,24,-5,885,633,26,226
"151",1597276800000,11,0,13,-2,896,646,26,224
"152",1597363200000,35,2,12,21,931,658,28,245
"153",1597449600000,46,0,4,42,977,662,28,287
"154",1.597536e+12,33,0,13,20,1010,675,28,307
"155",1597622400000,16,0,7,9,1026,682,28,316
"156",1597708800000,18,1,13,4,1044,695,29,320
"157",1597795200000,31,0,18,13,1075,713,29,333
"158",1597881600000,48,2,52,-6,1123,765,31,327
"159",1.597968e+12,25,1,28,-4,1148,793,32,323
"160",1598054400000,15,1,15,-1,1163,808,33,322
"161",1598140800000,15,0,18,-3,1178,826,33,319
